datetime,open,high,low,close,volume,date,bb_bbm,bb_bbh,bb_bbl,bb_vm,bb_vh,bb_vl,rsi
1628550000000,45421.01,46444.01,45400.75,45869.32,31763.612,2021-08-09 23:00:00,,,,,,,
1628551800000,45869.32,45968.4,45478.0,45635.64,17218.567,2021-08-09 23:30:00,,,,,,,
1628553600000,45635.64,45990.0,45635.64,45951.12,9726.23,2021-08-10 00:00:00,,,,,,,
1628555400000,45951.11,46047.91,45808.32,45872.11,8802.0,2021-08-10 00:30:00,,,,,,,
1628557200000,45871.79,46200.0,45680.8,45752.58,14590.92,2021-08-10 01:00:00,,,,,,,
1628559000000,45752.58,45920.0,45714.0,45897.99,5418.687,2021-08-10 01:30:00,,,,,,,
1628560800000,45897.99,46056.0,45780.81,45880.07,7325.938,2021-08-10 02:00:00,,,,,,,
1628562600000,45879.97,45949.09,45782.76,45839.99,4758.587,2021-08-10 02:30:00,,,,,,,
1628564400000,45840.0,46100.0,45826.35,46005.43,6812.126,2021-08-10 03:00:00,,,,,,,
1628566200000,46005.43,46483.0,45960.0,46213.71,18202.532,2021-08-10 03:30:00,,,,,,,
1628568000000,46213.72,46440.0,46130.0,46334.41,8844.358,2021-08-10 04:00:00,,,,,,,
1628569800000,46336.47,46336.47,45818.0,45986.77,10839.59,2021-08-10 04:30:00,,,,,,,
1628571600000,45986.76,46432.99,45986.21,46298.08,9819.166,2021-08-10 05:00:00,,,,,,,
1628573400000,46298.08,46298.08,45450.01,45484.57,29198.869,2021-08-10 05:30:00,,,,,,,39.414151451630985
1628575200000,45484.57,45811.41,44907.42,45213.83,26626.684,2021-08-10 06:00:00,,,,,,,34.83753774163256
1628577000000,45213.84,46071.48,45213.84,45743.51,17623.613999999998,2021-08-10 06:30:00,,,,,,,47.64578166233675
1628578800000,45743.52,46178.61,45701.0,45783.33,10179.515,2021-08-10 07:00:00,,,,,,,48.46586773283964
1628580600000,45784.06,46344.66,45783.72,46258.3,11757.869,2021-08-10 07:30:00,,,,,,,57.098278240038155
1628582400000,46258.3,46438.79,46128.93,46307.89,8863.474,2021-08-10 08:00:00,,,,,,,57.89136534544803
1628584200000,46307.89,46404.72,46052.18,46259.7,7685.805,2021-08-10 08:30:00,45929.4175,46504.314656920265,45354.52034307973,,,,56.792648481479425
1628586000000,46259.7,46800.0,45901.0,46197.4,27144.203,2021-08-10 09:00:00,45945.8215,46531.54409503198,45360.09890496802,,,,55.33062818172633
1628587800000,46196.92,46319.33,45717.0,45981.1,11451.147,2021-08-10 09:30:00,45963.09449999999,46531.32326919335,45394.86573080663,,,,50.472497102483
1628589600000,45981.09,46050.0,45638.85,45888.86,7631.25,2021-08-10 10:00:00,45959.9815,46529.12001172715,45390.84298827285,,,,48.51618678564174
1628591400000,45887.58,46125.63,45850.0,46020.23,5664.301,2021-08-10 10:30:00,45967.3875,46535.613640225,45399.161359775,,,,51.40510464491536
